totalFlips,clauses,tries,cb,ratio,flips,earlyRestarts,variables,lastRunEntropy,sat,entropy,flipsPerSecond
99528,2000,4,1.6000,4.0000,24528,0,500,0.9569,1,0.9626,29106.6154
52522,2000,3,1.6000,4.0000,2522,0,500,0.9283,1,0.9517,33926.5855
20116,2000,1,1.6000,4.0000,20116,0,500,0.9535,1,0.9535,52086.9061
199862,2000,8,1.6000,4.0000,24862,0,500,0.9618,1,0.9688,26533.3541
14834,2000,1,1.6000,4.0000,14834,0,500,0.9474,1,0.9474,62018.0355
6103,2000,1,1.6000,4.0000,6103,0,500,0.9390,1,0.9390,113053.5557
22575,2000,1,1.6000,4.0000,22575,0,500,0.9703,1,0.9703,49919.8489
17971,2000,1,1.6000,4.0000,17971,0,500,0.9674,1,0.9674,56293.3599
74144,2000,3,1.6000,4.0000,24144,0,500,0.9682,1,0.9703,31622.2399
156708,2000,7,1.6000,4.0000,6708,0,500,0.9467,1,0.9668,27171.3866
14969,2000,1,1.6000,4.0000,14969,0,500,0.9577,1,0.9577,62098.4890
35243,2000,2,1.6000,4.0000,10243,0,500,0.9487,1,0.9553,39529.4614
63698,2000,3,1.6000,4.0000,13698,0,500,0.9589,1,0.9646,32529.8457
448889,2000,18,1.6000,4.0000,23889,0,500,0.9634,1,0.9677,24821.2030
21020,2000,1,1.6000,4.0000,21020,0,500,0.9657,1,0.9657,51540.4221
