sat,ratio,cb,tries,clauses,flips,variables,entropy,earlyRestarts,totalFlips,flipsPerSecond,lastRunEntropy
0,4.0000,0.1000,29,2000,25000,500,0.9471,0,7250000,24148.1475,0.9808
0,4.0000,0.1000,30,2000,25000,500,0.9488,0,7500000,24287.4625,0.9815
0,4.0000,0.1000,29,2000,25000,500,0.9461,0,7250000,24149.4760,0.9793
0,4.0000,0.1000,29,2000,25000,500,0.9466,0,7250000,24159.9424,0.9808
0,4.0000,0.1000,29,2000,25000,500,0.9468,0,7250000,24122.0786,0.9818
0,4.0000,0.1000,29,2000,25000,500,0.9467,0,7250000,24106.1742,0.9803
0,4.0000,0.1000,30,2000,25000,500,0.9493,0,7500000,24416.4590,0.9811
0,4.0000,0.1000,30,2000,25000,500,0.9497,0,7500000,24288.2195,0.9825
0,4.0000,0.1000,30,2000,25000,500,0.9470,0,7500000,24322.7677,0.9808
0,4.0000,0.1000,29,2000,25000,500,0.9451,0,7250000,24163.2066,0.9793
0,4.0000,0.1000,30,2000,25000,500,0.9512,0,7500000,24397.2208,0.9848
0,4.0000,0.1000,30,2000,25000,500,0.9495,0,7500000,24284.7888,0.9816
0,4.0000,0.1000,30,2000,25000,500,0.9480,0,7500000,24284.1954,0.9814
0,4.0000,0.1000,30,2000,25000,500,0.9481,0,7500000,24255.4472,0.9794
0,4.0000,0.1000,30,2000,25000,500,0.9484,0,7500000,24475.5224,0.9816
0,4.0000,0.1000,30,2000,25000,500,0.9476,0,7500000,24343.5640,0.9793
0,4.0000,0.1000,30,2000,25000,500,0.9499,0,7500000,24352.4689,0.9821
0,4.0000,0.1000,30,2000,25000,500,0.9491,0,7500000,24184.8535,0.9820
0,4.0000,0.1000,30,2000,25000,500,0.9464,0,7500000,24341.1394,0.9789
0,4.0000,0.1000,30,2000,25000,500,0.9484,0,7500000,24377.0821,0.9820
0,4.0000,0.1000,30,2000,25000,500,0.9476,0,7500000,24151.7980,0.9809
0,4.0000,0.1000,30,2000,25000,500,0.9479,0,7500000,24351.4558,0.9795
0,4.0000,0.1000,30,2000,25000,500,0.9497,0,7500000,24285.0437,0.9819
