flips,sat,earlyRestarts,entropy,lastRunEntropy,totalFlips,flipsPerSecond,ratio,clauses,variables,tries,cb
7893,1,0,0.9095,0.9095,7893,88317.9535,4.0000,2000,500,1,2.0000
8833,1,0,0.9378,0.9243,33833,39850.4269,4.0000,2000,500,2,2.0000
7393,1,0,0.9335,0.9335,7393,94948.7047,4.0000,2000,500,1,2.0000
3794,1,0,0.9210,0.9210,3794,160098.9319,4.0000,2000,500,1,2.0000
16131,1,0,0.9402,0.9402,16131,59311.9479,4.0000,2000,500,1,2.0000
2931,1,0,0.9217,0.9217,2931,196960.4738,4.0000,2000,500,1,2.0000
10516,1,0,0.9499,0.9446,35516,39687.6463,4.0000,2000,500,2,2.0000
5080,1,0,0.9350,0.9350,5080,129189.3752,4.0000,2000,500,1,2.0000
17081,1,0,0.9380,0.9380,17081,56713.9324,4.0000,2000,500,1,2.0000
11369,1,0,0.9282,0.9412,36369,39320.8712,4.0000,2000,500,2,2.0000
18014,1,0,0.9495,0.9495,18014,55827.5593,4.0000,2000,500,1,2.0000
22390,1,0,0.9417,0.9417,22390,48239.6533,4.0000,2000,500,1,2.0000
7546,1,0,0.9486,0.9324,182546,26399.3917,4.0000,2000,500,8,2.0000
21776,1,0,0.9418,0.9418,21776,50061.7538,4.0000,2000,500,1,2.0000
16372,1,0,0.9466,0.9466,16372,58866.4860,4.0000,2000,500,1,2.0000
13168,1,0,0.9595,0.9595,13168,66950.0698,4.0000,2000,500,1,2.0000
5073,1,0,0.9223,0.9223,5073,128412.1806,4.0000,2000,500,1,2.0000
16776,1,0,0.9557,0.9557,16776,57873.3157,4.0000,2000,500,1,2.0000
7832,1,0,0.9417,0.9375,32832,40463.3419,4.0000,2000,500,2,2.0000
22932,1,0,0.9347,0.9347,22932,48501.1944,4.0000,2000,500,1,2.0000
7383,1,0,0.9274,0.9274,7383,99639.1082,4.0000,2000,500,1,2.0000
24410,1,0,0.9504,0.9504,24410,47654.6433,4.0000,2000,500,1,2.0000
6623,1,0,0.9212,0.9212,6623,107108.6324,4.0000,2000,500,1,2.0000
11172,1,0,0.9408,0.9408,11172,74441.4497,4.0000,2000,500,1,2.0000
4054,1,0,0.9113,0.9113,4054,152656.1821,4.0000,2000,500,1,2.0000
4381,1,0,0.9294,0.9294,4381,144030.0674,4.0000,2000,500,1,2.0000
21424,1,0,0.9480,0.9480,21424,50687.6011,4.0000,2000,500,1,2.0000
8202,1,0,0.9144,0.9144,8202,91796.1052,4.0000,2000,500,1,2.0000
14742,1,0,0.9419,0.9419,14742,62182.4818,4.0000,2000,500,1,2.0000
22953,1,0,0.9474,0.9474,22953,49299.2032,4.0000,2000,500,1,2.0000
