cb,ratio,flips,flipsPerSecond,lastRunEntropy,totalFlips,earlyRestarts,minEntropy,tries,entropy,variables,sat,clauses
2.3800,4.1000,4798,119218.4911,0.9165,4798,0,0.5000,1,0.9165,500,1,2050
2.3800,4.1000,22462,42862.4856,0.9348,22462,0,0.4500,1,0.9348,500,1,2050
2.3800,4.1000,8474,28695.0356,0.9038,58474,0,0.5500,3,1.1335,500,1,2050
2.3800,4.1000,23400,41556.4193,0.9209,23400,0,0.4500,1,0.9209,500,1,2050
2.3800,4.1000,16834,25249.2550,0.9385,91834,0,0.4000,4,1.2129,500,1,2050
2.3800,4.1000,22763,30498.7874,0.8947,47763,0,0.5500,2,1.1007,500,1,2050
2.3800,4.1000,21049,23102.0008,0.9212,171049,0,0.4500,7,1.1693,500,1,2050
2.3800,4.1000,25000,21372.7804,1.2487,4500000,0,0.5000,18,1.0383,500,0,2050
2.3800,4.1000,16466,49900.2860,0.9245,16466,0,0.6500,1,0.9245,500,1,2050
2.3800,4.1000,4535,125101.3845,0.9059,4535,0,0.5500,1,0.9059,500,1,2050
2.3800,4.1000,22933,25354.8420,0.9261,97933,0,0.4500,4,1.0719,500,1,2050
2.3800,4.1000,22326,42627.1039,0.9250,22326,0,0.5000,1,0.9250,500,1,2050
2.3800,4.1000,5278,36209.5586,0.8999,30278,0,0.6000,2,1.0269,500,1,2050
2.3800,4.1000,21817,22674.4315,0.9141,196817,0,0.5000,8,1.2209,500,1,2050
2.3800,4.1000,11830,61503.0459,0.9129,11830,0,0.4000,1,0.9129,500,1,2050
2.3800,4.1000,17787,48882.7526,0.8983,17787,0,0.6500,1,0.8983,500,1,2050
2.3800,4.1000,18468,30854.5531,0.9328,43468,0,0.6000,2,1.1288,500,1,2050
2.3800,4.1000,10175,68899.2454,0.9276,10175,0,0.5000,1,0.9276,500,1,2050
2.3800,4.1000,9563,34572.7036,0.9226,34563,0,0.4000,2,1.0570,500,1,2050
2.3800,4.1000,2875,175827.6196,0.9170,2875,0,0.6500,1,0.9170,500,1,2050
2.3800,4.1000,21070,27230.0862,0.9230,71070,0,0.6500,3,1.1363,500,1,2050
2.3800,4.1000,15466,24750.3208,0.9423,115466,0,0.6000,5,1.1987,500,1,2050
2.3800,4.1000,25000,21333.1537,1.1123,4500000,0,0.4500,18,1.0979,500,0,2050
2.3800,4.1000,16207,32650.8929,0.9365,41207,0,0.6000,2,1.0712,500,1,2050
2.3800,4.1000,15855,32473.3932,0.8908,40855,0,0.6000,2,1.1000,500,1,2050
2.3800,4.1000,3427,37283.6916,0.8997,28427,0,0.6500,2,1.0398,500,1,2050
2.3800,4.1000,15006,25657.5009,0.9328,90006,0,0.6000,4,1.1833,500,1,2050
2.3800,4.1000,4947,29027.5778,0.8841,54947,0,0.5000,3,1.0793,500,1,2050
2.3800,4.1000,6561,92649.0004,0.9110,6561,0,0.5000,1,0.9110,500,1,2050
2.3800,4.1000,25000,21321.9038,1.2946,4500000,0,0.6500,18,1.1513,500,0,2050
2.3800,4.1000,11169,64005.4432,0.9062,11169,0,0.5000,1,0.9062,500,1,2050
2.3800,4.1000,16554,50548.0140,0.9213,16554,0,0.5000,1,0.9213,500,1,2050
