variables,cb,totalFlips,entropy,minEntropy,clauses,earlyRestarts,ratio,lastRunEntropy,flips,flipsPerSecond,tries,sat
500,2.3800,223990,0.9451,0.0000,2050,0,4.1000,0.9485,23990,25328.4848,9,1
500,2.3800,13471,0.9353,0.0000,2050,0,4.1000,0.9353,13471,64518.4913,1,1
500,2.3800,9339,0.9152,0.0000,2050,0,4.1000,0.9152,9339,83834.4205,1,1
500,2.3800,40641,0.9147,0.0000,2050,0,4.1000,0.8934,15641,37323.3962,2,1
500,2.3800,5256,0.8823,0.0000,2050,0,4.1000,0.8823,5256,122830.6571,1,1
500,2.3800,82880,0.9316,0.0000,2050,0,4.1000,0.9345,7880,29823.7988,4,1
500,2.3800,185274,0.9327,0.0000,2050,0,4.1000,0.9055,10274,26195.6283,8,1
500,2.3800,5000000,0.8829,0.0000,2050,0,4.1000,0.9328,25000,24343.3093,20,0
500,2.3800,124486,0.9189,0.0000,2050,0,4.1000,0.9441,24486,27767.0115,5,1
500,2.3800,3960,0.8863,0.0000,2050,0,4.1000,0.8863,3960,154171.8205,1,1
500,2.3800,17376,0.9170,0.0000,2050,0,4.1000,0.9170,17376,54815.0920,1,1
500,2.3800,108294,0.9194,0.0000,2050,0,4.1000,0.9300,8294,28251.5935,5,1
500,2.3800,119180,0.9247,0.0000,2050,0,4.1000,0.9119,19180,27710.8036,5,1
500,2.3800,24301,0.8872,0.0000,2050,0,4.1000,0.8872,24301,46576.8724,1,1
500,2.3800,342028,0.9152,0.0000,2050,0,4.1000,0.9155,17028,24678.3460,14,1
500,2.3800,4579,0.9004,0.0000,2050,0,4.1000,0.9004,4579,137797.6053,1,1
500,2.3800,141465,0.9206,0.0000,2050,0,4.1000,0.9311,16465,26952.4316,6,1
500,2.3800,5000000,0.8802,0.0000,2050,0,4.1000,0.9579,25000,24249.5634,20,0
500,2.3800,5000000,0.8774,0.0000,2050,0,4.1000,0.9414,25000,24327.7555,20,0
500,2.3800,10082,0.9208,0.0000,2050,0,4.1000,0.9208,10082,78504.4460,1,1
500,2.3800,5957,0.9218,0.0000,2050,0,4.1000,0.9218,5957,113685.1169,1,1
500,2.3800,6735,0.8850,0.0000,2050,0,4.1000,0.8850,6735,104450.7080,1,1
500,2.3800,144920,0.9251,0.0000,2050,0,4.1000,0.9372,19920,26921.6478,6,1
500,2.3800,7679,0.9225,0.0000,2050,0,4.1000,0.9225,7679,94076.0226,1,1
500,2.3800,37759,0.9351,0.0000,2050,0,4.1000,0.9252,12759,38281.8163,2,1
500,2.3800,32452,0.9286,0.0000,2050,0,4.1000,0.9227,7452,40414.0290,2,1
500,2.3800,182528,0.9312,0.0000,2050,0,4.1000,0.9200,7528,26431.2366,8,1
500,2.3800,49895,0.9229,0.0000,2050,0,4.1000,0.9207,24895,34472.0897,2,1
500,2.3800,32653,0.9185,0.0000,2050,0,4.1000,0.8956,7653,40224.5470,2,1
500,2.3800,5000000,0.8946,0.0000,2050,0,4.1000,0.9579,25000,24204.1836,20,0
