sat,clauses,flips,variables,earlyRestarts,tries,flipsPerSecond,entropy,lastRunEntropy,totalFlips,ratio,minEntropy,cb
0,2100,25000,500,0,20,24200.7321,0.9276,0.9782,5000000,4.2000,0.0000,1.3000
1,2100,20723,500,0,10,25555.5981,0.9699,0.9650,245723,4.2000,0.0000,1.5000
1,2100,14750,500,0,10,25721.3236,0.8882,0.8950,239750,4.2000,0.0000,2.8000
0,2100,25000,500,0,20,24773.8385,0.8333,0.9099,5000000,4.2000,0.0000,3.4000
0,2100,25000,500,0,20,24668.2409,0.8023,0.8777,5000000,4.2000,0.0000,3.7000
1,2100,9117,500,0,1,84691.4143,0.9424,0.9424,9117,4.2000,0.0000,1.7000
0,2100,25000,500,0,20,24181.0087,0.9328,0.9805,5000000,4.2000,0.0000,0.3000
0,2100,25000,500,0,20,24323.3704,0.9317,0.9804,5000000,4.2000,0.0000,0.9000
0,2100,25000,500,0,20,24423.7815,0.9252,0.9758,5000000,4.2000,0.0000,1.5000
1,2100,19302,500,0,13,25367.9673,0.8723,0.8981,319302,4.2000,0.0000,2.8000
0,2100,25000,500,0,20,24771.0746,0.7331,0.8498,5000000,4.2000,0.0000,4.4000
0,2100,25000,500,0,20,24520.3603,0.8604,0.9029,5000000,4.2000,0.0000,2.7000
1,2100,10184,500,0,7,26664.1874,0.9316,0.9298,160184,4.2000,0.0000,2.1000
0,2100,25000,500,0,20,24594.7727,0.7931,0.7936,5000000,4.2000,0.0000,3.6000
1,2100,8971,500,0,2,40387.3157,0.9234,0.9074,33971,4.2000,0.0000,2.2000
0,2100,25000,500,0,20,24533.3515,0.9090,0.9535,5000000,4.2000,0.0000,2.1000
0,2100,25000,500,0,20,24409.4806,0.9331,0.9817,5000000,4.2000,0.0000,1.1000
0,2100,25000,500,0,20,24664.1636,0.8822,0.9261,5000000,4.2000,0.0000,2.4000
1,2100,15317,500,0,12,25668.1922,0.7309,0.7833,290317,4.2000,0.0000,4.2000
1,2100,18836,500,0,17,24702.9696,0.9553,0.9482,418836,4.2000,0.0000,1.9000
0,2100,25000,500,0,20,24017.5091,0.9291,0.9777,5000000,4.2000,0.0000,0.2000
1,2100,17620,500,0,5,28261.2714,0.7305,0.6980,117620,4.2000,0.0000,4.3000
0,2100,25000,500,0,20,24041.9287,0.9340,0.9839,5000000,4.2000,0.0000,0.0000
0,2100,25000,500,0,20,24187.6740,0.9338,0.9832,5000000,4.2000,0.0000,0.2000
1,2100,16365,500,0,1,58814.2280,0.9627,0.9627,16365,4.2000,0.0000,1.8000
0,2100,25000,500,0,20,24394.4326,0.7322,0.8553,5000000,4.2000,0.0000,4.8000
0,2100,25000,500,0,20,24196.3807,0.9328,0.9814,5000000,4.2000,0.0000,0.3000
0,2100,25000,500,0,20,24692.5517,0.7360,0.7881,5000000,4.2000,0.0000,4.4000
1,2100,5973,500,0,1,112536.0713,0.9064,0.9064,5973,4.2000,0.0000,2.3000
1,2100,19035,500,0,11,25572.7721,0.8563,0.8880,269035,4.2000,0.0000,3.4000
