sat,earlyRestarts,clauses,cb,flipsPerSecond,flips,ratio,tries,totalFlips,entropy,variables
0,0,4000,0.1000,21724.7946,50000,4.0000,27,13500000,9.1545,1000
0,0,4000,0.1000,21897.1464,50000,4.0000,27,13500000,9.1650,1000
0,0,4000,0.1000,21659.8947,50000,4.0000,27,13500000,9.1423,1000
0,0,4000,0.1000,21892.2836,50000,4.0000,27,13500000,9.1740,1000
0,0,4000,0.1000,21768.8190,50000,4.0000,27,13500000,9.1509,1000
0,0,4000,0.1000,21874.6949,50000,4.0000,27,13500000,9.1676,1000
0,0,4000,0.1000,21645.2855,50000,4.0000,26,13000000,9.1122,1000
0,0,4000,0.1000,21780.2016,50000,4.0000,27,13500000,9.1429,1000
0,0,4000,0.1000,22015.0701,50000,4.0000,27,13500000,9.1879,1000
0,0,4000,0.1000,21888.4672,50000,4.0000,27,13500000,9.1521,1000
0,0,4000,0.1000,21796.6210,50000,4.0000,27,13500000,9.1579,1000
0,0,4000,0.1000,21680.0707,50000,4.0000,27,13500000,9.1426,1000
0,0,4000,0.1000,21731.2898,50000,4.0000,27,13500000,9.1512,1000
0,0,4000,0.1000,21794.1021,50000,4.0000,27,13500000,9.1547,1000
0,0,4000,0.1000,21598.2244,50000,4.0000,26,13000000,9.1404,1000
0,0,4000,0.1000,21861.9276,50000,4.0000,27,13500000,9.1613,1000
0,0,4000,0.1000,21756.9075,50000,4.0000,27,13500000,9.1763,1000
0,0,4000,0.1000,21616.4908,50000,4.0000,26,13000000,9.1101,1000
0,0,4000,0.1000,21655.0834,50000,4.0000,26,13000000,9.1288,1000
0,0,4000,0.1000,21692.2128,50000,4.0000,27,13500000,9.1443,1000
0,0,4000,0.1000,21850.3259,50000,4.0000,27,13500000,9.1946,1000
0,0,4000,0.1000,21546.6063,50000,4.0000,26,13000000,9.1104,1000
0,0,4000,0.1000,21862.2537,50000,4.0000,27,13500000,9.1502,1000
0,0,4000,0.1000,21869.0516,50000,4.0000,27,13500000,9.1616,1000
0,0,4000,0.1000,21736.6484,50000,4.0000,27,13500000,9.1543,1000
0,0,4000,0.1000,21656.9412,50000,4.0000,26,13000000,9.1306,1000
0,0,4000,0.1000,21628.8026,50000,4.0000,27,13500000,9.1271,1000
0,0,4000,0.1000,21688.0775,50000,4.0000,27,13500000,9.1302,1000
0,0,4000,0.1000,21722.8972,50000,4.0000,27,13500000,9.1301,1000
0,0,4000,0.1000,21859.1294,50000,4.0000,27,13500000,9.1538,1000
0,0,4000,0.1000,21734.1244,50000,4.0000,27,13500000,9.1448,1000
0,0,4000,0.1000,21766.5649,50000,4.0000,27,13500000,9.1494,1000
0,0,4000,0.1000,21871.1477,50000,4.0000,27,13500000,9.1712,1000
0,0,4000,0.1000,21600.3442,50000,4.0000,26,13000000,9.1065,1000
0,0,4000,0.1000,21656.0807,50000,4.0000,26,13000000,9.1404,1000
0,0,4000,0.1000,21694.8297,50000,4.0000,27,13500000,9.1680,1000
0,0,4000,0.1000,21669.5196,50000,4.0000,27,13500000,9.1564,1000
0,0,4000,0.1000,21436.7772,50000,4.0000,26,13000000,9.1061,1000
0,0,4000,0.1000,21842.8445,50000,4.0000,27,13500000,9.1395,1000
0,0,4000,0.1000,21934.2990,50000,4.0000,27,13500000,9.1573,1000
0,0,4000,0.1000,21840.9134,50000,4.0000,27,13500000,9.1542,1000
0,0,4000,0.1000,21843.7819,50000,4.0000,27,13500000,9.1374,1000
0,0,4000,0.1000,21824.5776,50000,4.0000,27,13500000,9.1615,1000
0,0,4000,0.1000,21904.3570,50000,4.0000,27,13500000,9.1653,1000
0,0,4000,0.1000,21682.4806,50000,4.0000,27,13500000,9.1216,1000
0,0,4000,0.1000,21948.7904,50000,4.0000,27,13500000,9.1628,1000
0,0,4000,0.1000,21888.9884,50000,4.0000,27,13500000,9.1579,1000
0,0,4000,0.1000,21855.4362,50000,4.0000,27,13500000,9.1734,1000
